classification_id,user_id,subject_id,subject_data,annotations
0,166,37,"{""37"": {""num_classifications"": 1, ""sdss_specobjid"": 2980368179500443648}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
1,69,65,"{""65"": {""num_classifications"": 1, ""sdss_specobjid"": 1827420537903671296}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
2,129,76,"{""76"": {""num_classifications"": 1, ""sdss_specobjid"": 851185870366074880}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
3,62,41,"{""41"": {""num_classifications"": 1, ""sdss_specobjid"": 2169722425900558336}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
4,93,79,"{""79"": {""num_classifications"": 1, ""sdss_specobjid"": 1319600916596287488}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
5,147,179,"{""179"": {""num_classifications"": 1, ""sdss_specobjid"": 1912915814290319360}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
6,32,49,"{""49"": {""num_classifications"": 1, ""sdss_specobjid"": 1516602065286096896}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
7,74,109,"{""109"": {""num_classifications"": 1, ""sdss_specobjid"": 1018957052220827648}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
8,163,62,"{""62"": {""num_classifications"": 1, ""sdss_specobjid"": 973963106898176000}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
9,50,32,"{""32"": {""num_classifications"": 1, ""sdss_specobjid"": 2792366523753195520}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
